target_platform,target_group,target_name,events,first_start,last_end,calendar_name,public_url
Booking,1300 Monterey Park Back house,Entire house - New listing 20% 2Brs 1Ba 15mins to DTLA,41,2026-05-15,2027-01-03,Lincies Auto Block - Booking - Entire house - New listing 20% 2Brs 1Ba 15mins to,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-entire-house-new-listing-20-2brs-1ba-15mins-to-dtla-1989e4b2.ics
Booking,1300 Monterey Park Back house,Lovely House 1Br 1Ba 15 min to DTLA,42,2026-05-15,2027-01-03,Lincies Auto Block - Booking - Lovely House 1Br 1Ba 15 min to DTLA,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-lovely-house-1br-1ba-15-min-to-dtla-fe214b90.ics
Booking,1300 Monterey Park front house,Entire house - 3BRs 2BA 15 mins to DTLA,10,2026-05-13,2027-04-04,Lincies Auto Block - Booking - Entire house - 3BRs 2BA 15 mins to DTLA,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-entire-house-3brs-2ba-15-mins-to-dtla-0dc1db10.ics
Booking,1300 Monterey Park front house,House 2BRs 2Ba 15mins to DTLA Fast Tri-Band WiFi,10,2026-05-13,2027-04-04,Lincies Auto Block - Booking - House 2BRs 2Ba 15mins to DTLA Fast Tri-Band WiFi,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-house-2brs-2ba-15mins-to-dtla-fast-tri-band-wifi-4e718f47.ics
Booking,150 Monterey Park,Booking 4Brs 3BA 15mins to DTLA High-Speed Mesh WiFi,125,2026-05-01,2027-01-10,Lincies Auto Block - Booking - Booking 4Brs 3BA 15mins to DTLA High-Speed Mesh W,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-booking-4brs-3ba-15mins-to-dtla-high-speed-mesh-wifi-8f551e29.ics
Booking,150 Monterey Park,Booking entire house - 6BRs New listing 20% off for World Cup near DTLA,125,2026-05-01,2027-01-10,Lincies Auto Block - Booking - Booking entire house - 6BRs New listing 20% off f,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-booking-entire-house-6brs-new-listing-20-off-for-world-cup-near-dtla-2f1cf6b1.ics
Booking,Royal house,Entire House - 4BRs near Airport Love Field,25,2026-04-10,2027-06-01,Lincies Auto Block - Booking - Entire House - 4BRs near Airport Love Field,https://www.lincieshouse.com/lincies-ical-64b227cdb68ac2ef/booking/booking-entire-house-4brs-near-airport-love-field-d1b33314.ics
